mes,p,ret,pi,esc,etp,hsi,c1,c2,hd,etr,hsf,dcc,rp,nr
1,298,,,,139.15,796.490421360109,0.506391482952629,0.365283526141762,252.874182884639,,786.362394126897,307.137605873103,,
2,316,,,,128.51,786.362394126897,0.492220368805073,0.365549016997998,245.797624468345,,784.816652583569,308.683347416431,,
3,153.71,,,,148.91,784.816652583569,0.434030220419121,0.30460296756277,216.739501019594,,755.879567008402,337.620432991598,,
4,139,,,,149.42,755.879567008402,0.371088657228328,0.260051505719799,185.308687316824,,732.29120574297,361.20879425703,,
5,336.5,,,,156.87,732.29120574297,0.390899882880851,0.268103001586569,195.201720014796,,737.647828771594,355.852171228406,,
6,398,,,,151.15,737.647828771594,0.422504970982262,0.294619303456566,210.984194834557,,750.922527793843,342.577472206157,,
7,387.25,,,,155.32,750.922527793843,0.445438684867631,0.306891657075053,222.436488868924,,758.145514513656,335.354485486345,,
8,267,,,,153.39,758.145514513656,0.419080169077271,0.290351269104781,209.273968631271,,748.999124479899,344.500875520101,,
9,297.33,,,,144.24,748.999124479899,0.411060654138799,0.292327085000032,205.269303554022,,748.675979807329,344.824020192671,,
10,363,,,,144.28,748.675979807329,0.432707406970533,0.307686581166345,216.07893428184,,756.801911977646,336.698088022354,,
11,332.75,,,,135.39,860,0.645369202089925,0.47039391092824,322.274791601635,,840.878207665871,252.621792334129,,
12,111,,,,137.89,840.878207665871,0.531796579062472,0.384951224888823,265.560598703531,,796.490421360109,297.009578639891,,
